StatusMonth,OccGroup,all189,no189
2025-04,2333 Electrical Engineers,6,18
2025-04,2223 Financial Investment Advisers and Managers,0,7
2025-04,2321 Architects and Landscape Architects,12,11
2025-04,3112 Medical Technicians,0,41
2025-04,2531 General Practitioners and Resident Medical officers,26,27
2025-04,3113 Primary Products Inspectors,0,2
2025-04,1335 Production Managers,0,14
2025-04,2515 Pharmacists,0,55
2025-04,1351 ICT Managers,0,30
2025-04,2247 Management and Organisation Analysts,0,3
2025-04,2347 Veterinarians,0,1
2025-04,2414 Secondary School Teachers,20,20
2025-04,1341 Child Care Centre Managers,0,1
2025-04,3125 Mechanical Engineering Draftspersons and Technicians,0,4
2025-04,2412 Primary School Teachers,0,37
2025-04,"2241 Actuaries, Mathematicians and Statisticians",2,4
2025-04,3331 Glaziers,0,1
2025-04,2421 University Lecturers and Tutors,10,20
2025-04,1411 Cafe and Restaurant Managers,0,45
2025-04,2633 Telecommunications Engineering Professionals,0,4
2025-04,3511 Bakers and Pastrycooks,0,8
2025-04,1332 Engineering Managers,3,11
2025-04,"1499 Other Hospitality, Retail and Service Managers",0,3
2025-04,3122 Civil Engineering Draftspersons and Technicians,15,42
2025-04,1399 Other Specialist Managers,0,2
2025-04,"5111 Contract, Program and Project Administrators",0,4
2025-04,2322 Cartographers and Surveyors,0,4
2025-04,1325 Research and Development Managers,0,2
2025-04,2245 Land Economists and Valuers,0,1
2025-04,2252 ICT Sales Professionals,0,2
2025-04,2336 Mining Engineers,3,5
2025-04,2612 Multimedia Specialists and Web Developers,0,2
2025-04,3223 Structural Steel and Welding Trades Workers,3,11
2025-04,2349 Other Natural and Physical Science Professionals,0,2
2025-04,2326 Urban and Regional Planners,0,9
2025-04,2632 ICT Support and Test Engineers,0,11
2025-04,1331 Construction Managers,16,48
2025-04,2343 Environmental Scientists,4,12
2025-04,3132 Telecommunications Technical Specialists,0,1
2025-04,3312 Carpenters and Joiners,15,26
2025-04,1334 Manufacturers,0,3
2025-04,2725 Social Workers,14,19
2025-04,1413 Hotel and Motel Managers,0,15
2025-04,2249 Other Information and Organisation Professionals,0,7
2025-04,3322 Painting Trades Workers,5,10
2025-04,3423 Electronics Trades Workers,0,13
2025-04,2521 Chiropractors and Osteopaths,1,1
2025-04,2493 Teachers of English to Speakers of Other Languages,0,4
2025-04,2124 Journalists and Other Writers,0,2
2025-04,1212 Crop Farmers,0,3
2025-04,3941 Cabinetmakers,1,2
2025-04,2243 Economists,1,1
2025-04,6121 Real Estate Sales Agents,0,3
2025-04,3311 Bricklayers and Stonemasons,1,5
2025-04,"2726 Welfare, Recreation and Community Arts Workers",0,15
2025-04,1336 Supply and Distribution Managers,0,1
2025-04,1342 Health and Welfare Services Managers,1,8
2025-04,1324 Policy and Planning Managers,0,15
2025-04,3231 Aircraft Maintenance Engineers,0,5
2025-04,1492 Call or Contact Centre and Customer Service Managers,0,1
2025-04,2539 Other Medical Practitioners,2,3
2025-04,1419 Other Accommodation and Hospitality Managers,0,1
2025-04,3111 Agricultural Technicians,0,2
2025-04,2724 Social Professionals,0,7
2025-04,4114 Enrolled and Mothercraft Nurses,0,62
2025-04,3411 Electricians,7,23
2025-04,2525 Physiotherapists,13,16
2025-04,1494 Transport Services Managers,0,2
2025-04,2253 Public Relations Professionals,0,2
2025-04,2512 Medical Imaging Professionals,0,3
2025-04,3131 ICT Support Technicians,0,12
2025-04,3911 Hairdressers,0,2
2025-04,3222 Sheetmetal Trades Workers,0,4
2025-04,2513 Occupational and Environmental Health Professionals,0,10
2025-04,2527 Speech Professionals and Audiologists,6,11
2025-04,"2242 Archivists, Curators and Records Managers",0,1
2025-04,3129 Other Building and Engineering Technicians,0,18
2025-04,2492 Private Tutors and Teachers,0,2
2025-04,2524 Occupational Therapists,15,12
2025-04,2519 Other Health Diagnostic and Promotion Professionals,0,1
2025-04,3421 Airconditioning and Refrigeration Mechanics,0,2
2025-04,2415 Special Education Teachers,0,1
2025-04,1493 Conference and Event Organisers,0,14
2025-04,2723 Psychologists,1,14
2025-04,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,2
2025-04,4111 Ambulance Officers and Paramedics,0,3
2025-04,2113 Photographers,0,1
2025-04,2312 Marine Transport Professionals,0,1
2025-04,"4112 Dental Hygienists, Technicians and Therapists",0,1
2025-04,2541 Midwives,1,1
2025-04,3341 Plumbers,0,16
2025-04,2511 Dietitians,0,6
2025-04,2244 Intelligence and Policy Analysts,0,1
2025-04,"3992 Chemical, Gas, Petroleum and Power Generation Plant Operators",0,2
2025-04,2232 ICT Trainers,0,5
2025-04,3241 Panelbeaters,1,1
2025-04,1214 Mixed Crop and Livestock Farmers,0,2
2025-04,3424 Telecommunications Trades Workers,0,4
2025-04,2721 Counsellors,0,3
2025-04,4113 Diversional Therapists,0,4
2025-04,2533 Internal Medicine Specialists,1,3
2025-04,3332 Plasterers,1,4
2025-04,3334 Wall and Floor Tilers,3,3
2025-04,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,6
2025-04,2523 Dental Practitioners,0,3
2025-04,1343 School Principals,0,2
2025-04,1344 Other Education Managers,0,3
2025-04,3234 Toolmakers and Engineering Patternmakers,0,1
2025-04,2534 Psychiatrists,1,0
2025-04,2514 Optometrists and Orthoptists,0,2
2025-04,3422 Electrical Distribution Trades Workers,0,1
2025-04,3512 Butchers and Smallgoods Makers,0,1
2025-04,3333 Roof Tilers,0,1
2025-04,4518 Other Personal Service Workers,0,2
2025-12,2613 Software and Applications Programmers,13,38
2025-12,3212 Motor Mechanics,6,24
2025-12,2332 Civil Engineering Professionals,19,31
2025-12,2411 Early Childhood (Pre-primary School) Teachers,61,70
2025-12,2611 ICT Business and Systems Analysts,6,17
2025-12,2211 Accountants,4,34
2025-12,2344 Geologists Geophysicists and Hydrogeologists,2,3
2025-12,"2621 Database and Systems Administrators, and ICT Security Specialists",1,6
2025-12,4117 Welfare Support Workers,0,28
2025-12,"2212 Auditors, Company Secretaries and Corporate Treasurers",2,7
2025-12,2345 Life Scientists,5,9
2025-12,"2335 Industrial, Mechanical and Production Engineers",11,22
2025-12,2339 Other Engineering Professionals,4,18
2025-12,2341 Agricultural and Forestry Scientists,1,1
2025-12,2544 Registered Nurses,123,122
2025-12,3513 Chefs,12,38
2025-12,2334 Electronics Engineers,3,10
2025-12,3232 Metal Fitters and Machinists,1,4
2025-12,3114 Science Technicians,0,14
2025-12,3622 Gardeners,0,1
2025-12,"2324 Graphic and Web Designers, and Illustrators",0,3
2025-12,2631 Computer Network Professionals,3,8
2025-12,4116 Massage Therapists,0,2
2025-12,"2342 Chemists, and Food and Wine Scientists",0,2
2025-12,2713 Solicitors,2,2
2025-12,1322 Finance Managers,0,2
2025-12,"3121 Architectural, Building and Surveying Technicians",0,22
2025-12,2331 Chemical and Materials Engineers,2,2
2025-12,2251 Advertising and Marketing Professionals,0,2
2025-12,3123 Electrical Engineering Draftspersons and Technicians,1,0
2025-12,2231 Human Resource Professionals,0,3
2025-12,3514 Cooks,0,7
2025-12,2333 Electrical Engineers,16,13
2025-12,2223 Financial Investment Advisers and Managers,0,3
2025-12,2321 Architects and Landscape Architects,2,3
2025-12,3112 Medical Technicians,0,12
2025-12,2531 General Practitioners and Resident Medical officers,20,30
2025-12,1335 Production Managers,0,8
2025-12,2515 Pharmacists,0,16
2025-12,1351 ICT Managers,0,4
2025-12,2247 Management and Organisation Analysts,0,1
2025-12,2347 Veterinarians,0,4
2025-12,2414 Secondary School Teachers,65,74
2025-12,3125 Mechanical Engineering Draftspersons and Technicians,0,1
2025-12,2412 Primary School Teachers,0,22
2025-12,"2241 Actuaries, Mathematicians and Statisticians",1,1
2025-12,2421 University Lecturers and Tutors,4,9
2025-12,1411 Cafe and Restaurant Managers,0,11
2025-12,2633 Telecommunications Engineering Professionals,0,3
2025-12,3511 Bakers and Pastrycooks,0,2
2025-12,1332 Engineering Managers,1,2
2025-12,3122 Civil Engineering Draftspersons and Technicians,2,14
2025-12,1399 Other Specialist Managers,0,3
2025-12,"5111 Contract, Program and Project Administrators",0,8
2025-12,2322 Cartographers and Surveyors,1,9
2025-12,2245 Land Economists and Valuers,0,1
2025-12,2252 ICT Sales Professionals,0,1
2025-12,2336 Mining Engineers,2,1
2025-12,3223 Structural Steel and Welding Trades Workers,6,7
2025-12,2349 Other Natural and Physical Science Professionals,0,1
2025-12,2326 Urban and Regional Planners,0,20
2025-12,2632 ICT Support and Test Engineers,0,8
2025-12,1331 Construction Managers,19,22
2025-12,3613 Veterinary Nurses,0,1
2025-12,2343 Environmental Scientists,1,7
2025-12,3132 Telecommunications Technical Specialists,1,6
2025-12,3312 Carpenters and Joiners,11,24
2025-12,2725 Social Workers,6,10
2025-12,1413 Hotel and Motel Managers,0,3
2025-12,2249 Other Information and Organisation Professionals,0,3
2025-12,3322 Painting Trades Workers,1,3
2025-12,3423 Electronics Trades Workers,0,1
2025-12,2493 Teachers of English to Speakers of Other Languages,0,2
2025-12,2124 Journalists and Other Writers,0,1
2025-12,3941 Cabinetmakers,5,1
2025-12,2243 Economists,0,1
2025-12,6121 Real Estate Sales Agents,0,1
2025-12,3311 Bricklayers and Stonemasons,3,6
2025-12,"2726 Welfare, Recreation and Community Arts Workers",0,5
2025-12,1342 Health and Welfare Services Managers,0,6
2025-12,1324 Policy and Planning Managers,0,1
2025-12,3231 Aircraft Maintenance Engineers,0,2
2025-12,2539 Other Medical Practitioners,4,2
2025-12,4114 Enrolled and Mothercraft Nurses,0,46
2025-12,3411 Electricians,7,8
2025-12,2525 Physiotherapists,3,4
2025-12,1494 Transport Services Managers,0,2
2025-12,2253 Public Relations Professionals,0,1
2025-12,2512 Medical Imaging Professionals,1,1
2025-12,"4523 Sports Coaches, Instructors and Officials",0,1
2025-12,3222 Sheetmetal Trades Workers,1,0
2025-12,2513 Occupational and Environmental Health Professionals,0,5
2025-12,2527 Speech Professionals and Audiologists,2,4
2025-12,"2242 Archivists, Curators and Records Managers",0,2
2025-12,3129 Other Building and Engineering Technicians,0,3
2025-12,2524 Occupational Therapists,7,6
2025-12,3421 Airconditioning and Refrigeration Mechanics,1,2
2025-12,2346 Medical Laboratory Scientists,1,5
2025-12,2415 Special Education Teachers,1,0
2025-12,1493 Conference and Event Organisers,0,4
2025-12,2723 Psychologists,3,6
2025-12,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,2
2025-12,3126 Safety Inspectors,0,2
2025-12,4111 Ambulance Officers and Paramedics,0,3
2025-12,2541 Midwives,5,6
2025-12,3341 Plumbers,1,5
2025-12,2244 Intelligence and Policy Analysts,0,1
2025-12,"3992 Chemical, Gas, Petroleum and Power Generation Plant Operators",0,1
2025-12,3424 Telecommunications Trades Workers,0,1
2025-12,2721 Counsellors,0,14
2025-12,4113 Diversional Therapists,0,4
2025-12,2533 Internal Medicine Specialists,5,1
2025-12,3332 Plasterers,1,1
2025-12,3334 Wall and Floor Tilers,3,2
2025-12,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,7
2025-12,2543 Nurse Managers,0,1
2025-12,2523 Dental Practitioners,0,4
2025-12,3211 Automotive Electricians,1,0
2025-12,1344 Other Education Managers,0,1
2025-11,2613 Software and Applications Programmers,9,45
2025-11,3212 Motor Mechanics,8,16
2025-11,2332 Civil Engineering Professionals,15,36
2025-11,2411 Early Childhood (Pre-primary School) Teachers,422,54
2025-11,2611 ICT Business and Systems Analysts,10,45
2025-11,2211 Accountants,9,50
2025-11,2344 Geologists Geophysicists and Hydrogeologists,11,2
2025-11,"2621 Database and Systems Administrators, and ICT Security Specialists",1,18
2025-11,4117 Welfare Support Workers,0,23
2025-11,"2212 Auditors, Company Secretaries and Corporate Treasurers",2,3
2025-11,2345 Life Scientists,286,1
2025-11,"2335 Industrial, Mechanical and Production Engineers",3,20
2025-11,2339 Other Engineering Professionals,8,17
2025-11,2341 Agricultural and Forestry Scientists,115,4
2025-11,2544 Registered Nurses,2909,146
2025-11,3513 Chefs,8,24
2025-11,2334 Electronics Engineers,2,4
2025-11,3232 Metal Fitters and Machinists,9,4
2025-11,3114 Science Technicians,0,4
2025-11,"2324 Graphic and Web Designers, and Illustrators",0,8
2025-11,2631 Computer Network Professionals,3,5
2025-11,4116 Massage Therapists,0,5
2025-11,"2342 Chemists, and Food and Wine Scientists",217,2
2025-11,2713 Solicitors,288,1
2025-11,1322 Finance Managers,0,2
2025-11,"3121 Architectural, Building and Surveying Technicians",0,27
2025-11,2331 Chemical and Materials Engineers,329,2
2025-11,2251 Advertising and Marketing Professionals,0,6
2025-11,3123 Electrical Engineering Draftspersons and Technicians,31,2
2025-11,2231 Human Resource Professionals,0,6
2025-11,3514 Cooks,0,8
2025-11,2333 Electrical Engineers,5,13
2025-11,2223 Financial Investment Advisers and Managers,0,5
2025-11,2321 Architects and Landscape Architects,143,3
2025-11,3112 Medical Technicians,0,11
2025-11,2531 General Practitioners and Resident Medical officers,324,22
2025-11,1323 Human Resource Managers,0,1
2025-11,1335 Production Managers,0,14
2025-11,2515 Pharmacists,0,24
2025-11,1351 ICT Managers,0,15
2025-11,2247 Management and Organisation Analysts,174,1
2025-11,2347 Veterinarians,104,0
2025-11,2414 Secondary School Teachers,554,43
2025-11,1341 Child Care Centre Managers,4,1
2025-11,3125 Mechanical Engineering Draftspersons and Technicians,0,6
2025-11,6112 Insurance Agents,0,1
2025-11,2412 Primary School Teachers,0,9
2025-11,"2241 Actuaries, Mathematicians and Statisticians",288,2
2025-11,3331 Glaziers,8,0
2025-11,2421 University Lecturers and Tutors,1,6
2025-11,1411 Cafe and Restaurant Managers,0,16
2025-11,2633 Telecommunications Engineering Professionals,46,5
2025-11,3511 Bakers and Pastrycooks,0,1
2025-11,1332 Engineering Managers,21,4
2025-11,"1499 Other Hospitality, Retail and Service Managers",0,1
2025-11,3122 Civil Engineering Draftspersons and Technicians,269,4
2025-11,1399 Other Specialist Managers,27,0
2025-11,"5111 Contract, Program and Project Administrators",0,7
2025-11,2322 Cartographers and Surveyors,48,6
2025-11,1325 Research and Development Managers,0,3
2025-11,2245 Land Economists and Valuers,26,1
2025-11,2336 Mining Engineers,95,2
2025-11,2612 Multimedia Specialists and Web Developers,45,6
2025-11,3223 Structural Steel and Welding Trades Workers,19,5
2025-11,2349 Other Natural and Physical Science Professionals,43,1
2025-11,2326 Urban and Regional Planners,0,11
2025-11,2632 ICT Support and Test Engineers,0,13
2025-11,1331 Construction Managers,112,25
2025-11,3613 Veterinary Nurses,0,1
2025-11,2343 Environmental Scientists,182,4
2025-11,2711 Barristers,2,0
2025-11,3132 Telecommunications Technical Specialists,9,4
2025-11,3312 Carpenters and Joiners,801,42
2025-11,2725 Social Workers,480,18
2025-11,1413 Hotel and Motel Managers,0,6
2025-11,2249 Other Information and Organisation Professionals,0,9
2025-11,3322 Painting Trades Workers,205,30
2025-11,3423 Electronics Trades Workers,14,0
2025-11,2521 Chiropractors and Osteopaths,3,1
2025-11,2124 Journalists and Other Writers,0,3
2025-11,1212 Crop Farmers,0,1
2025-11,3941 Cabinetmakers,4,6
2025-11,2243 Economists,42,1
2025-11,6121 Real Estate Sales Agents,0,1
2025-11,3311 Bricklayers and Stonemasons,96,12
2025-11,"2726 Welfare, Recreation and Community Arts Workers",0,8
2025-11,1342 Health and Welfare Services Managers,5,6
2025-11,"2123 Film, Television, Radio and Stage Directors",0,2
2025-11,1492 Call or Contact Centre and Customer Service Managers,0,3
2025-11,2539 Other Medical Practitioners,248,2
2025-11,1419 Other Accommodation and Hospitality Managers,0,2
2025-11,3111 Agricultural Technicians,0,1
2025-11,2724 Social Professionals,0,3
2025-11,4114 Enrolled and Mothercraft Nurses,0,46
2025-11,3411 Electricians,139,20
2025-11,2525 Physiotherapists,234,11
2025-11,2253 Public Relations Professionals,0,1
2025-11,2512 Medical Imaging Professionals,82,5
2025-11,3131 ICT Support Technicians,0,4
2025-11,"4523 Sports Coaches, Instructors and Officials",2,2
2025-11,3911 Hairdressers,0,1
2025-11,2513 Occupational and Environmental Health Professionals,0,14
2025-11,2527 Speech Professionals and Audiologists,58,8
2025-11,"2242 Archivists, Curators and Records Managers",0,1
2025-11,3129 Other Building and Engineering Technicians,0,5
2025-11,2524 Occupational Therapists,150,9
2025-11,2519 Other Health Diagnostic and Promotion Professionals,0,5
2025-11,3421 Airconditioning and Refrigeration Mechanics,2,3
2025-11,2346 Medical Laboratory Scientists,36,2
2025-11,2415 Special Education Teachers,13,2
2025-11,1493 Conference and Event Organisers,0,3
2025-11,2723 Psychologists,75,11
2025-11,4111 Ambulance Officers and Paramedics,0,2
2025-11,2541 Midwives,35,2
2025-11,3341 Plumbers,61,15
2025-11,2244 Intelligence and Policy Analysts,0,1
2025-11,2232 ICT Trainers,0,2
2025-11,3424 Telecommunications Trades Workers,0,2
2025-11,2721 Counsellors,0,7
2025-11,3991 Boat Builders and Shipwrights,6,0
2025-11,4113 Diversional Therapists,0,4
2025-11,2533 Internal Medicine Specialists,22,2
2025-11,3332 Plasterers,15,1
2025-11,3611 Animal Attendants and Trainers,0,1
2025-11,3334 Wall and Floor Tilers,99,2
2025-11,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,2
2025-11,2543 Nurse Managers,0,1
2025-11,2523 Dental Practitioners,0,2
2025-11,1343 School Principals,0,3
2025-11,2112 Music Professionals,1,0
2025-11,"2121 Artistic Directors, and Media Producers and Presenters",1,0
2025-11,3211 Automotive Electricians,2,3
2025-11,1344 Other Education Managers,0,2
2025-11,2534 Psychiatrists,9,0
2025-11,2514 Optometrists and Orthoptists,6,0
2025-11,2535 Surgeons,5,0
2025-11,2526 Podiatrists,11,0
2025-11,3333 Roof Tilers,0,1
2025-11,1412 Caravan Park and Camping Ground Managers,0,1
2025-11,4518 Other Personal Service Workers,0,2
2026-02,2613 Software and Applications Programmers,34,97
2026-02,3212 Motor Mechanics,19,32
2026-02,2332 Civil Engineering Professionals,40,80
2026-02,2411 Early Childhood (Pre-primary School) Teachers,22,58
2026-02,2611 ICT Business and Systems Analysts,22,42
2026-02,2211 Accountants,21,70
2026-02,2344 Geologists Geophysicists and Hydrogeologists,2,4
2026-02,"2621 Database and Systems Administrators, and ICT Security Specialists",8,31
2026-02,4117 Welfare Support Workers,0,55
2026-02,"2212 Auditors, Company Secretaries and Corporate Treasurers",1,6
2026-02,2345 Life Scientists,3,6
2026-02,"2335 Industrial, Mechanical and Production Engineers",20,35
2026-02,2339 Other Engineering Professionals,9,48
2026-02,2341 Agricultural and Forestry Scientists,1,3
2026-02,2544 Registered Nurses,110,166
2026-02,3513 Chefs,44,119
2026-02,2334 Electronics Engineers,1,3
2026-02,3232 Metal Fitters and Machinists,5,21
2026-02,3114 Science Technicians,0,5
2026-02,"2324 Graphic and Web Designers, and Illustrators",0,4
2026-02,2631 Computer Network Professionals,2,24
2026-02,4116 Massage Therapists,0,5
2026-02,"2342 Chemists, and Food and Wine Scientists",2,2
2026-02,2713 Solicitors,0,3
2026-02,1311 Advertising and Sales Managers,0,2
2026-02,1322 Finance Managers,0,1
2026-02,"3121 Architectural, Building and Surveying Technicians",0,43
2026-02,2331 Chemical and Materials Engineers,2,5
2026-02,2251 Advertising and Marketing Professionals,0,23
2026-02,3123 Electrical Engineering Draftspersons and Technicians,2,5
2026-02,2231 Human Resource Professionals,0,6
2026-02,6392 Retail and Wool Buyers,0,1
2026-02,3514 Cooks,0,27
2026-02,2333 Electrical Engineers,9,35
2026-02,2223 Financial Investment Advisers and Managers,0,4
2026-02,2321 Architects and Landscape Architects,2,9
2026-02,3112 Medical Technicians,0,15
2026-02,2531 General Practitioners and Resident Medical officers,18,24
2026-02,1335 Production Managers,0,16
2026-02,2515 Pharmacists,0,37
2026-02,1351 ICT Managers,0,10
2026-02,2247 Management and Organisation Analysts,2,8
2026-02,2347 Veterinarians,6,2
2026-02,2414 Secondary School Teachers,33,46
2026-02,1341 Child Care Centre Managers,1,1
2026-02,3125 Mechanical Engineering Draftspersons and Technicians,0,3
2026-02,2412 Primary School Teachers,0,28
2026-02,"2241 Actuaries, Mathematicians and Statisticians",2,3
2026-02,3331 Glaziers,2,3
2026-02,2421 University Lecturers and Tutors,6,13
2026-02,1411 Cafe and Restaurant Managers,0,55
2026-02,2633 Telecommunications Engineering Professionals,0,3
2026-02,3511 Bakers and Pastrycooks,0,8
2026-02,1332 Engineering Managers,1,6
2026-02,"1499 Other Hospitality, Retail and Service Managers",0,1
2026-02,3122 Civil Engineering Draftspersons and Technicians,14,45
2026-02,1399 Other Specialist Managers,0,2
2026-02,"5111 Contract, Program and Project Administrators",0,13
2026-02,2322 Cartographers and Surveyors,1,1
2026-02,1325 Research and Development Managers,0,1
2026-02,2245 Land Economists and Valuers,1,3
2026-02,2252 ICT Sales Professionals,0,1
2026-02,2336 Mining Engineers,4,4
2026-02,2612 Multimedia Specialists and Web Developers,0,2
2026-02,3223 Structural Steel and Welding Trades Workers,8,19
2026-02,2349 Other Natural and Physical Science Professionals,0,2
2026-02,2326 Urban and Regional Planners,0,10
2026-02,2632 ICT Support and Test Engineers,0,22
2026-02,2325 Interior Designers,0,1
2026-02,1331 Construction Managers,8,46
2026-02,3613 Veterinary Nurses,0,1
2026-02,2343 Environmental Scientists,4,6
2026-02,3132 Telecommunications Technical Specialists,2,6
2026-02,3312 Carpenters and Joiners,32,86
2026-02,1334 Manufacturers,0,4
2026-02,2725 Social Workers,14,21
2026-02,1413 Hotel and Motel Managers,0,22
2026-02,2249 Other Information and Organisation Professionals,0,13
2026-02,3322 Painting Trades Workers,55,81
2026-02,3423 Electronics Trades Workers,2,5
2026-02,2542 Nurse Educators and Researchers,0,1
2026-02,2493 Teachers of English to Speakers of Other Languages,0,5
2026-02,2124 Journalists and Other Writers,0,3
2026-02,1212 Crop Farmers,0,4
2026-02,3941 Cabinetmakers,11,18
2026-02,2243 Economists,1,0
2026-02,3311 Bricklayers and Stonemasons,11,45
2026-02,"2726 Welfare, Recreation and Community Arts Workers",0,20
2026-02,"2323 Fashion, Industrial and Jewellery Designers",0,1
2026-02,1336 Supply and Distribution Managers,0,2
2026-02,1342 Health and Welfare Services Managers,0,4
2026-02,1324 Policy and Planning Managers,0,2
2026-02,3231 Aircraft Maintenance Engineers,0,3
2026-02,1492 Call or Contact Centre and Customer Service Managers,0,1
2026-02,2221 Financial Brokers,0,3
2026-02,2539 Other Medical Practitioners,5,1
2026-02,1419 Other Accommodation and Hospitality Managers,0,3
2026-02,3111 Agricultural Technicians,0,9
2026-02,2724 Social Professionals,0,2
2026-02,4114 Enrolled and Mothercraft Nurses,0,49
2026-02,3411 Electricians,36,66
2026-02,2525 Physiotherapists,5,11
2026-02,2253 Public Relations Professionals,0,2
2026-02,2512 Medical Imaging Professionals,3,3
2026-02,3131 ICT Support Technicians,0,8
2026-02,"4523 Sports Coaches, Instructors and Officials",0,1
2026-02,2513 Occupational and Environmental Health Professionals,0,1
2026-02,2527 Speech Professionals and Audiologists,3,4
2026-02,1213 Livestock Farmers,0,3
2026-02,"2242 Archivists, Curators and Records Managers",0,2
2026-02,3129 Other Building and Engineering Technicians,0,15
2026-02,2492 Private Tutors and Teachers,0,1
2026-02,2524 Occupational Therapists,8,10
2026-02,2519 Other Health Diagnostic and Promotion Professionals,0,7
2026-02,3421 Airconditioning and Refrigeration Mechanics,2,10
2026-02,2346 Medical Laboratory Scientists,2,6
2026-02,2415 Special Education Teachers,2,2
2026-02,1493 Conference and Event Organisers,0,5
2026-02,2723 Psychologists,5,11
2026-02,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,4
2026-02,"4112 Dental Hygienists, Technicians and Therapists",0,3
2026-02,2541 Midwives,3,0
2026-02,3341 Plumbers,4,53
2026-02,2511 Dietitians,0,3
2026-02,"3992 Chemical, Gas, Petroleum and Power Generation Plant Operators",0,1
2026-02,3424 Telecommunications Trades Workers,0,19
2026-02,2721 Counsellors,0,15
2026-02,"1491 Amusement, Fitness and Sports Centre Managers",0,1
2026-02,3991 Boat Builders and Shipwrights,2,1
2026-02,4113 Diversional Therapists,0,4
2026-02,3332 Plasterers,1,8
2026-02,3334 Wall and Floor Tilers,9,20
2026-02,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,1
2026-02,2543 Nurse Managers,0,1
2026-02,2523 Dental Practitioners,0,4
2026-02,3211 Automotive Electricians,0,4
2026-02,1344 Other Education Managers,0,1
2026-02,2514 Optometrists and Orthoptists,0,1
2026-02,3422 Electrical Distribution Trades Workers,0,1
2026-02,2526 Podiatrists,0,1
2025-06,2613 Software and Applications Programmers,30,109
2025-06,3212 Motor Mechanics,6,22
2025-06,2332 Civil Engineering Professionals,37,82
2025-06,2411 Early Childhood (Pre-primary School) Teachers,18,65
2025-06,2611 ICT Business and Systems Analysts,25,65
2025-06,2211 Accountants,16,52
2025-06,2344 Geologists Geophysicists and Hydrogeologists,1,5
2025-06,"2621 Database and Systems Administrators, and ICT Security Specialists",3,21
2025-06,4117 Welfare Support Workers,0,115
2025-06,"2212 Auditors, Company Secretaries and Corporate Treasurers",3,10
2025-06,2345 Life Scientists,4,3
2025-06,"2335 Industrial, Mechanical and Production Engineers",17,22
2025-06,2339 Other Engineering Professionals,6,21
2025-06,2341 Agricultural and Forestry Scientists,3,4
2025-06,2544 Registered Nurses,83,114
2025-06,3513 Chefs,28,70
2025-06,2334 Electronics Engineers,3,9
2025-06,3232 Metal Fitters and Machinists,4,39
2025-06,3114 Science Technicians,0,4
2025-06,3622 Gardeners,0,1
2025-06,"2324 Graphic and Web Designers, and Illustrators",0,13
2025-06,2631 Computer Network Professionals,3,16
2025-06,4116 Massage Therapists,0,2
2025-06,"2342 Chemists, and Food and Wine Scientists",2,5
2025-06,1311 Advertising and Sales Managers,0,8
2025-06,"3121 Architectural, Building and Surveying Technicians",0,60
2025-06,2331 Chemical and Materials Engineers,1,4
2025-06,2251 Advertising and Marketing Professionals,0,5
2025-06,3123 Electrical Engineering Draftspersons and Technicians,7,13
2025-06,2231 Human Resource Professionals,0,7
2025-06,3514 Cooks,0,101
2025-06,2333 Electrical Engineers,2,20
2025-06,2223 Financial Investment Advisers and Managers,0,14
2025-06,2321 Architects and Landscape Architects,12,11
2025-06,3112 Medical Technicians,0,33
2025-06,2531 General Practitioners and Resident Medical officers,9,16
2025-06,1323 Human Resource Managers,0,1
2025-06,3113 Primary Products Inspectors,0,1
2025-06,1335 Production Managers,0,22
2025-06,2515 Pharmacists,0,66
2025-06,1351 ICT Managers,0,18
2025-06,2247 Management and Organisation Analysts,1,2
2025-06,2414 Secondary School Teachers,19,12
2025-06,1341 Child Care Centre Managers,0,2
2025-06,3125 Mechanical Engineering Draftspersons and Technicians,0,9
2025-06,6112 Insurance Agents,0,1
2025-06,2412 Primary School Teachers,0,13
2025-06,"2241 Actuaries, Mathematicians and Statisticians",0,1
2025-06,3331 Glaziers,1,0
2025-06,2421 University Lecturers and Tutors,1,4
2025-06,1411 Cafe and Restaurant Managers,0,58
2025-06,2633 Telecommunications Engineering Professionals,1,1
2025-06,3511 Bakers and Pastrycooks,0,13
2025-06,1332 Engineering Managers,0,8
2025-06,"1499 Other Hospitality, Retail and Service Managers",0,5
2025-06,3122 Civil Engineering Draftspersons and Technicians,49,88
2025-06,"5111 Contract, Program and Project Administrators",0,4
2025-06,2322 Cartographers and Surveyors,3,5
2025-06,1325 Research and Development Managers,0,6
2025-06,2252 ICT Sales Professionals,0,2
2025-06,2336 Mining Engineers,4,6
2025-06,2612 Multimedia Specialists and Web Developers,1,0
2025-06,3223 Structural Steel and Welding Trades Workers,0,11
2025-06,2349 Other Natural and Physical Science Professionals,0,2
2025-06,2326 Urban and Regional Planners,0,11
2025-06,2632 ICT Support and Test Engineers,0,19
2025-06,1331 Construction Managers,9,71
